"","mean","est_err","pro_err","pre_err","cv"
"1",23.6192407997694,13.5326653222207,12.9808858952592,18.7519713456739,0.793927777130627
"2",51.0902048662825,18.9963414165313,19.0915059669191,26.9322592312329,0.527151130079088
"3",71.4048583841329,17.3521482672002,22.5701916364946,28.469467855845,0.398704913084335
"4",139.15371685668,26.1431014568281,31.5078501257533,40.9414994025493,0.294217792577661
"5",181.345322267133,26.2742473553899,35.9686836572465,44.5430384923085,0.245625516751372
"6",284.897252772733,31.8435879269052,45.0832790540969,55.1952547084268,0.193737405928786
"7",510.330346221085,45.1198225355218,60.3388546894126,75.3430538992615,0.147635848930335
"8",565.588359960073,41.9298418142342,63.5216246080177,76.1124722197921,0.134572204111777
"9",922.398710723966,57.4397194596417,81.1205168581956,99.3974830010456,0.107759780933596
"10",1487.04095645496,82.5103397224562,102.998957857201,131.972502745021,0.0887483980667472
"11",3127.61304745827,181.080721000733,149.374984619607,234.740523873176,0.0750542091720533
"12",7364.48201676508,364.084912667416,229.214701112865,430.229244517734,0.0584194847021591
