"","mean","est_err","pro_err","pre_err","cv"
"1",23.619240799768,4.33610833686906,3.9893430657416,5.89208737250611,0.249461336308658
"2",51.0902048662813,6.28625206872269,5.86728575832487,8.59895384575136,0.168309245740107
"3",71.4048583911188,11.795416073826,19.5673608755914,22.8476137045053,0.319972817246662
"4",139.153716877485,20.3657702461828,30.97079941874,37.0668991737389,0.266373762810617
"5",181.345322286348,22.2225207558396,37.6742428854964,43.7400160692597,0.241197377014188
"6",284.897252793609,28.3522546198592,48.6435331440398,56.3031407539991,0.197626127321022
"7",510.330346247802,39.6304638934863,60.3340190850768,72.1856462696798,0.141448861115989
"8",565.588359980477,37.0192136629518,61.6568417830906,71.9165371725332,0.127153495830458
"9",922.398710746948,50.7174368587034,75.8738929754735,91.263936123587,0.0989419597623705
"10",1487.04095647873,73.195848999107,99.8383338470041,123.795497559669,0.0832495547754196
"11",3127.61304748392,225.518460672327,122.513262164688,256.647765449554,0.0820586695198823
"12",7364.48201695249,339.508960482731,208.215642464068,398.271374837295,0.0540800254410974
