"","mean","est_err","pro_err","pre_err","cv"
"1",24.6930303175129,10.9602871899865,10.2319300977006,14.9940084304103,0.607216215977193
"2",55.6398467389393,16.1384133797878,15.3590138559417,22.278862023091,0.400411994799748
"3",67.9880767596785,13.1529215099455,16.9780085399739,21.4767809093965,0.315890402155538
"4",152.619195654445,22.8160038415618,25.4375306496046,34.1707184128126,0.223895285689887
"5",186.62374508503,21.9517328160154,28.1289693522357,35.6807719990016,0.191190954734858
"6",307.7262651653,28.3760717458133,36.1204084444561,45.9334883708812,0.149267363792321
"7",572.325136081807,42.3037153878215,49.2597019491499,64.9316761814516,0.113452427803504
"8",576.386839943527,38.3579137660468,49.4341872039495,62.5705075334906,0.108556447159031
"9",925.56412431626,54.8284448000376,62.6431554750445,83.2485632732563,0.089943593410942
"10",1571.35080365081,90.847571389368,81.6219461526446,122.128716201766,0.0777221203044014
"11",3151.22422716007,388.890052685876,115.587274411344,405.704191602536,0.128744945569348
"12",7592.14129087338,476.972318545406,179.412422621153,509.599264176639,0.0671219415778306
