"","mean","est_err","pro_err","pre_err","cv"
"1",90.3211332507649,33.3334602865757,27.0871167041042,42.9515013243831,0.475542099379265
"2",445.325328209091,86.7235206188776,88.811802412282,124.131000464232,0.278742287045369
"3",697.551095486483,121.600518179175,133.516395256056,180.591566313644,0.258893674574042
"4",1019.9692999517,164.428021769723,198.894610368689,258.061311274699,0.253008900647223
"5",1451.6835038782,219.005483405529,271.578398114013,348.881395439572,0.240328828224284
"6",2174.21030365983,303.442769702129,363.935012907766,473.841965326705,0.21793750334505
"7",3547.58000326133,463.500869092173,481.020296556884,667.992201562916,0.188295176133822
"8",4187.72560324259,599.377345281639,508.131585378697,785.78044649656,0.187638952726063
"9",4580.24931160407,940.288570362935,503.372294592004,1066.54876237235,0.232858233212382
"10",18194.6155825441,1736.31732018091,1007.55762249077,2007.47856750688,0.110333662088077
