"","IBNR","CL","ODP","EV","DP"
"29",8836,8345,8335.07939793053,8353.61462038806,8589.40327365487
"30",7244,7411.5,7382.8590718923,7385.82611729101,7735.12240170508
"31",7106,8336.5,8284.03256331218,8250.88479497695,8632.86343247
"32",8208,8467.5,8422.94957658731,8389.16867132762,8914.36301770309
"33",8798,8203.5,8228.68840570016,8205.64932919733,8979.04418102224
"34",7536,7380,7354.2503083262,7315.6680129107,7715.13884863725
"35",8101,6987.5,6988.91380053648,6976.08085007964,7459.94106153921
"36",8377,8797,8736.88714611966,8754.06543284745,9050.4924465962
"37",7821,7888,7863.60339632156,7862.69612303334,8018.18369436454
"38",7235,8152,8111.25263294843,8121.66260638737,8602.87660457272
"39",7685,8345,8333.20029953861,8360.26830752619,8621.6357567476
"40",8235,8237.5,8209.57000760415,8189.25019129774,8532.88918941431
"41",9495,9008.5,8969.88037807881,8952.66806512082,9242.51395327698
"42",8274,7442.5,7443.4752507883,7418.74458335658,7883.09985056446
"43",9102,7665,7634.99254419463,7607.21714149701,8134.51482684993
"44",8513,7558.5,7516.82607237828,7529.64652219216,8080.65820183947
"45",8220,8188,8137.5172971956,8101.13631439566,8548.07733086723
"46",7927,7589,7570.78202566275,7574.30424372135,7830.78598175682
"47",9734,8715.5,8706.25746292798,8682.64414959046,9000.85331695464
"48",7674,7373.5,7355.90011869362,7352.01875898001,7499.22013966537
"49",7597,8254,8214.31676311571,8225.81576410474,8413.32762321926
"50",6599,7200,7162.72874469644,7209.79837099048,7371.47224110223
"51",7434,8574.5,8565.1498495035,8542.44702130565,8664.16944857596
"52",7556,6340,6293.12815983119,6291.48242168495,6618.30980045334
"53",7661,7479,7445.04710166576,7417.42518955685,7687.4405143992
"54",7834,7635.5,7589.70716851997,7592.3550868149,7739.78454367628
"55",7959,7938,7921.99381256038,7873.7841353274,8330.90354337007
"56",8140,7159.5,7138.46978930731,7127.96549712237,7517.1135337002
"57",8373,7297.5,7282.1996516344,7272.38024414532,7606.41722902466
"58",9349,8455,8436.1429665012,8390.32161457835,9007.81128036219
"59",8132,8408.5,8388.51001065498,8342.76710682135,8747.83239033655
"60",8394,7640,7593.00028499747,7582.09043012227,8108.62120200223
"61",7534,6721,6709.57037873569,6703.30193315548,6946.98141915217
"62",6754,7712,7680.47176672966,7663.28604721962,7701.82771143407
"63",7687,6980,6932.8166198786,6914.87800655778,7222.23928674758
"64",8008,8462.5,8446.77838371286,8433.08087094429,8530.20760330134
"65",8220,7674.5,7646.52640182385,7619.93839356261,7888.1125637286
"66",6492,6604,6599.90479447311,6579.70811556733,6710.66622976599
"67",8985,8723,8688.59896086276,8697.16723004447,9359.72949073493
"68",7511,7214.5,7195.11389746193,7176.78394070334,7396.26775989408
"69",8864,8465,8403.11302069299,8389.13850012199,8647.33311295505
"70",8738,9457,9435.54511591642,9410.75586595258,9785.37896170128
"71",7298,8655.5,8620.81569426714,8551.04573808676,8878.2911476168
"72",7461,7101.5,7097.39788396727,7067.11234678812,7363.80572194619
"73",8444,8541.5,8526.37900731231,8483.06536139611,9035.68906574683
"74",7448,7186,7167.58663303716,7152.07344756633,7428.42003715677
"75",6553,8155,8149.30600716174,8111.6455767594,8084.45626204174
"76",8746,7830,7811.87575139719,7799.67062422983,8311.27863506201
"77",8124,8350,8301.30536580752,8284.59429757033,8735.39209012101
"78",8132,8259.5,8232.87328521956,8205.36673458067,8637.7123878307
"79",8055,7462.5,7412.48212286153,7414.27946971285,7868.07408548278
"80",9670,7679.5,7637.26900050095,7647.95143605364,8228.33965676102
"81",8010,8550,8520.60210494315,8497.07940377344,8847.09507789306
"82",8438,8337.5,8290.74680263956,8274.08816336386,8774.83684489881
"83",9317,8372,8360.32334964961,8343.16635437513,8652.51443789026
"84",7587,8252,8169.82031141873,8120.53013603057,8405.66678002359
"85",8781,9107,9074.80930329928,9050.22188613848,9311.07177434247
"86",8947,7419.5,7373.17069615267,7364.1513429689,7761.06204045381
"87",7892,7880,7821.04767280216,7818.66395476752,7959.59300371552
"88",9774,8853,8801.17130597584,8775.57967193441,9267.99438106517
"89",8956,NA,NA,NA,NA
"90",7293,7272.5,7241.83804393461,7237.09884428718,7348.47681136603
"91",7888,7965.5,7917.72960062999,7904.36601007224,8423.00326243153
"92",7678,7882,7837.18308350295,7808.53465908974,7965.01003422783
