"","true Res.","CL Res.","MSEP^(1/2)"
"1",0,0,0
"2",13,24,2
"3",92,51,8
"4",66,71,24
"5",154,139,39
"6",252,181,45
"7",309,285,57
"8",937,510,72
"9",591,566,71
"10",942,922,90
"11",1446,1487,132
"12",2987,3128,235
"13",7789,7364,388
