"","mean","est_err","pro_err","pre_err","cv"
"1",94.633814548782,84.707306107261,70.7086118101682,110.340543283375,1.16597374637684
"2",469.511290064219,148.572375937106,157.496953625509,216.515683711163,0.461151176325384
"3",709.637820825425,175.671437626148,193.627712470873,261.442431587416,0.368416710489466
"4",984.888639049695,201.276433879139,228.109147686855,304.213717793144,0.308881335139245
"5",1419.45945766161,257.40632989098,273.848668918186,375.833889020411,0.264772542105255
"6",2177.64062013544,362.52480369625,339.189377133966,496.461143349137,0.227981209919871
"7",3920.30101195236,647.805615888069,455.102106034045,791.688096975534,0.201945742064654
"8",4278.97226326152,934.835470521263,475.465350875274,1048.80153357423,0.245105943447928
"9",4625.81069442446,1921.86628280279,494.359706623666,1984.42977414351,0.428990701356491
"10",18680.8556119235,2779.9193149877,993.453444224721,2952.10114049022,0.158028154695761
