"","mean","est_err","pro_err","pre_err","cv"
"1",94.6338145480473,31.3714291349638,25.2511570813784,40.2714228693065,0.42555003263511
"2",469.511290063075,66.8464404279413,56.2446385812793,87.3607804854389,0.186067475552511
"3",709.637820837757,92.3691358389067,70.3172864150228,116.088664495715,0.163588609692008
"4",984.888639069415,145.130923896142,188.541096958897,237.930095434377,0.241580708717677
"5",1419.45945787619,210.419423344932,306.156945600617,371.494830462435,0.261715703397593
"6",2177.64062037421,292.071119787028,395.67980125939,491.800817545395,0.225841129589548
"7",3920.30101223869,467.49923041201,560.322122672986,729.737220917627,0.186143160599015
"8",4278.97226349964,604.308259290116,533.826856533509,806.324739173181,0.188438879599961
"9",4625.81069463431,1173.48997503462,517.922136305142,1282.70108005787,0.277292168818264
"10",18680.8556131413,1850.32546404112,1077.85122348429,2141.3704917285,0.114629144193059
